State ,Month,Energy Requirement MU,Energy Availability MU
चंडीगढ़/ Chandigarh,Apr-23,121,121
दिल्ली / Delhi,Apr-23,2569,2569
हरियाणा / Haryana,Apr-23,4197,4166
हिमाचल प्रदेश / Himachal Pradesh,Apr-23,967,963
"यू.टी ऑफ़ जम्मू कश्मीर और लद्दाख / 
UTs of J&K and Ladakh ",Apr-23,1695,1675
पंजाब / Punjab,Apr-23,4197,4192
राजस्थान / Rajasthan,Apr-23,7396,7354
उत्तर प्रदेश / Uttar Pradesh,Apr-23,11130,11113
उत्तराखंड / Uttarakhand,Apr-23,1208,1193
उत्तरी क्षेत्र / Northern Region ,Apr-23,33583,33448
छत्तीसगढ़ / Chhattisgarh,Apr-23,3480,3473
गुजरात / Gujarat,Apr-23,13594,13594
मध्य प्रदेश / Madhya Pradesh,Apr-23,7577,7577
महाराष्ट्र / Maharashtra,Apr-23,17458,17455
"दादरा और नगर हवेली और दमन और दीव / 
Dadra & Nagar Haveli and Daman & Diu",Apr-23,792,792
गोवा / Goa,Apr-23,424,424
पश्चिमी क्षेत्र / Western Region,Apr-23,43903,43894
आन्ध्र प्रदेश / Andhra Pradesh,Apr-23,6940,6938
तेलंगाना / Telangana,Apr-23,7331,7329
कर्नाटक / Karnataka,Apr-23,8604,8602
केरल / Kerala,Apr-23,2765,2764
तमिल नाडू / Tamil Nadu,Apr-23,11228,11226
पुडुचेरी / Puducherry,Apr-23,279,279
लक्ष-द्वीप / Lakshadweep  #,Apr-23,6,6
दक्षिणी क्षेत्र / Southern Region,Apr-23,37152,37143
बिहार / Bihar,Apr-23,3416,3380
दामोदर घाटी निगम / DVC,Apr-23,2255,2255
झारखण्ड / Jharkhand,Apr-23,1208,1139
ओडिशा/ Odisha,Apr-23,3468,3466
पश्चिम बंगाल / West Bengal,Apr-23,5910,5901
सिक्किम / Sikkim,Apr-23,44,44
अंडमान-निकोबार/ Andaman- Nicobar #,Apr-23,33,33
पूर्वी क्षेत्र/ Eastern Region,Apr-23,16307,16192
अरुणाचल प्रदेश / Arunachal Pradesh,Apr-23,72,72
असम / Assam,Apr-23,911,909
मणिपुर / Manipur,Apr-23,78,78
मेघालय / Meghalaya ,Apr-23,187,147
मिज़ोरम / Mizoram ,Apr-23,56,56
नागालैंड / Nagaland ,Apr-23,68,68
त्रिपुरा / Tripura *,Apr-23,144,144
उत्तर-पूर्वी क्षेत्र  / North-Eastern Region      ,Apr-23,1516,1474
सम्पूर्ण भारत  / All India,Apr-23,132461,132151
