State ,Month,Energy Requirement MU,Energy Availability MU
चंडीगढ़/ Chandigarh,Aug-23,213,213
दिल्ली / Delhi,Aug-23,4104,4103
हरियाणा / Haryana,Aug-23,7658,7569
हिमाचल प्रदेश / Himachal Pradesh,Aug-23,1149,1146
"यू.टी ऑफ़ जम्मू कश्मीर और लद्दाख / 
UTs of J&K and Ladakh ",Aug-23,1606,1585
पंजाब / Punjab,Aug-23,9560,9560
राजस्थान / Rajasthan,Aug-23,10349,10154
उत्तर प्रदेश / Uttar Pradesh,Aug-23,15781,15669
उत्तराखंड / Uttarakhand,Aug-23,1404,1385
उत्तरी क्षेत्र / Northern Region ,Aug-23,51939,51499
छत्तीसगढ़ / Chhattisgarh,Aug-23,3535,3515
गुजरात / Gujarat,Aug-23,12556,12554
मध्य प्रदेश / Madhya Pradesh,Aug-23,8269,8269
महाराष्ट्र / Maharashtra,Aug-23,16972,16865
"दादरा और नगर हवेली और दमन और दीव / 
Dadra & Nagar Haveli and Daman & Diu",Aug-23,792,792
गोवा / Goa,Aug-23,418,418
पश्चिमी क्षेत्र / Western Region,Aug-23,43161,43033
आन्ध्र प्रदेश / Andhra Pradesh,Aug-23,7200,7161
तेलंगाना / Telangana,Aug-23,7689,7688
कर्नाटक / Karnataka,Aug-23,7909,7839
केरल / Kerala,Aug-23,2591,2590
तमिल नाडू / Tamil Nadu,Aug-23,11104,11103
पुडुचेरी / Puducherry,Aug-23,310,310
लक्ष-द्वीप / Lakshadweep  #,Aug-23,5,5
दक्षिणी क्षेत्र / Southern Region,Aug-23,36807,36694
बिहार / Bihar,Aug-23,4298,4237
दामोदर घाटी निगम / DVC,Aug-23,2309,2308
झारखण्ड / Jharkhand,Aug-23,1305,1252
ओडिशा/ Odisha,Aug-23,3705,3703
पश्चिम बंगाल / West Bengal,Aug-23,6612,6604
सिक्किम / Sikkim,Aug-23,35,35
अंडमान-निकोबार/ Andaman- Nicobar #,Aug-23,33,31
पूर्वी क्षेत्र/ Eastern Region,Aug-23,18267,18143
अरुणाचल प्रदेश / Arunachal Pradesh,Aug-23,83,83
असम / Assam,Aug-23,1345,1313
मणिपुर / Manipur,Aug-23,81,81
मेघालय / Meghalaya ,Aug-23,182,167
मिज़ोरम / Mizoram ,Aug-23,53,53
नागालैंड / Nagaland ,Aug-23,89,89
त्रिपुरा / Tripura *,Aug-23,168,168
उत्तर-पूर्वी क्षेत्र  / North-Eastern Region      ,Aug-23,2002,1955
सम्पूर्ण भारत  / All India,Aug-23,152176,151324
