Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),August` 2023 - Program - Col (3),August` 2023 - Actual - Col (4),August` 2023 - Actual Same Month 2022-23 - Col (5),August` 2023 - % of Program Col. (4/3) - Col (6),August` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to August` 2023 - Program - Col (8),April` 2023 to August` 2023 - Actual - Col (9),April` 2023 to August` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to August` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to August` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - August` 2023 - Program - Col (13),Plant Load Factor (%) - August` 2023 - Actual - Col (14),Plant Load Factor (%) - August` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to August` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to August` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to August` 2023 - Actual Same Peroid 2022-23 - Col (18)
1,Northern Region,Delhi,State Sector,I.P.CCPP,NA,270,175,16,26.26,28.71,164.13,91.47,81,134.71,143.75,166.31,93.71,NA,NA,NA,NA,NA,NA
2,Northern Region,Delhi,State Sector,IPGCL,Natural Gas,270,175,16,26.26,28.71,164.13,91.47,81,134.71,143.75,166.31,93.71,NA,NA,NA,NA,NA,NA
3,Northern Region,Delhi,State Sector,PRAGATI CCGT-III,NA,1500,4100,357,306.57,220.67,85.87,138.93,1765,775.56,1331.06,43.94,58.27,NA,NA,NA,NA,NA,NA
4,Northern Region,Delhi,State Sector,PRAGATI CCPP,NA,330.4,1500,126,196.16,115.35,155.68,170.06,702,533.8,680.59,76.04,78.43,NA,NA,NA,NA,NA,NA
5,Northern Region,Delhi,State Sector,PPCL,Natural Gas,1830.4,5600,483,502.73,336.02,104.08,149.61,2467,1309.36,2011.65,53.07,65.09,NA,NA,NA,NA,NA,NA
6,Northern Region,Delhi,State Sector,State Sector,Natural Gas,2100.4,5775,499,528.99,364.73,106.01,145.04,2548,1444.07,2155.4,56.67,67,NA,NA,NA,NA,NA,NA
7,Northern Region,Delhi,Pvt Sector,RITHALA CCPP,NA,108,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
8,Northern Region,Delhi,Pvt Sector,TPDDL,Natural Gas,108,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
9,Northern Region,Delhi,Pvt Sector,Pvt Sector,Natural Gas,108,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
10,Northern Region,Delhi,Pvt Sector,Total,Natural Gas,2208.4,5775,499,528.99,364.73,106.01,145.04,2548,1444.07,2155.4,56.67,67,NA,NA,NA,NA,NA,NA
11,Northern Region,Delhi,Pvt Sector,Total,Delhi,2208.4,5775,499,528.99,364.73,106.01,145.04,2548,1444.07,2155.4,56.67,67,NA,NA,NA,NA,NA,NA
12,Northern Region,Haryana,State Sector,PANIPAT TPS,NA,710,4000,318,430.65,447.23,135.42,96.29,1764,1737.64,2236.25,98.51,77.7,60.2,81.53,84.66,67.66,66.65,85.77
13,Northern Region,Haryana,State Sector,RAJIV GANDHI TPS,NA,1200,6100,599,393.45,659.75,65.68,59.64,3190,1827.43,2605.35,57.29,70.14,67.09,44.07,73.9,72.39,41.47,59.13
14,Northern Region,Haryana,State Sector,YAMUNA NAGAR TPS,NA,600,4200,342,356.59,395.77,104.27,90.1,1780,1565.9,1919.61,87.97,81.57,76.61,79.88,88.66,80.79,71.07,87.13
15,Northern Region,Haryana,State Sector,HPGCL,Coal,2510,14300,1259,1180.69,1502.75,93.78,78.57,6734,5130.97,6761.21,76.19,75.89,67.42,63.23,80.47,73.06,55.67,73.36
16,Northern Region,Haryana,State Sector,State Sector,Thermal,2510,14300,1259,1180.69,1502.75,93.78,78.57,6734,5130.97,6761.21,76.19,75.89,67.42,63.23,80.47,73.06,55.67,73.36
17,Northern Region,Haryana,Pvt Sector,MAHATMA GANDHI TPS,NA,1320,7600,634,815.96,807.82,128.7,101.01,3502,3534.83,3815.53,100.94,92.64,64.56,83.08,82.26,72.25,72.93,78.72
18,Northern Region,Haryana,Pvt Sector,JhPL (HR),Coal,1320,7600,634,815.96,807.82,128.7,101.01,3502,3534.83,3815.53,100.94,92.64,64.56,83.08,82.26,72.25,72.93,78.72
19,Northern Region,Haryana,Pvt Sector,Pvt Sector,Thermal,1320,7600,634,815.96,807.82,128.7,101.01,3502,3534.83,3815.53,100.94,92.64,64.56,83.08,82.26,72.25,72.93,78.72
20,Northern Region,Haryana,Central Sector,INDIRA GANDHI STPP,NA,1500,7600,631,834.79,746.2,132.3,111.87,3496,3420.08,4248.91,97.83,80.49,56.54,74.8,66.86,63.47,62.09,77.14
21,Northern Region,Haryana,Central Sector,APCPL,Coal,1500,7600,631,834.79,746.2,132.3,111.87,3496,3420.08,4248.91,97.83,80.49,56.54,74.8,66.86,63.47,62.09,77.14
22,Northern Region,Haryana,Central Sector,CENTRAL,Thermal,1500,7600,631,834.79,746.2,132.3,111.87,3496,3420.08,4248.91,97.83,80.49,56.54,74.8,66.86,63.47,62.09,77.14
23,Northern Region,Haryana,Central Sector,FARIDABAD CCPP,NA,431.59,150,12,25.62,0,213.5,0,63,95.82,2.55,152.1,3757.65,NA,NA,NA,NA,NA,NA
24,Northern Region,Haryana,Central Sector,NTPC Ltd.,Natural Gas,431.59,150,12,25.62,0,213.5,0,63,95.82,2.55,152.1,3757.65,NA,NA,NA,NA,NA,NA
25,Northern Region,Haryana,Central Sector,Central,Natural Gas,431.59,150,12,25.62,0,213.5,0,63,95.82,2.55,152.1,3757.65,NA,NA,NA,NA,NA,NA
26,Northern Region,Haryana,Central Sector,Total,Thermal,5330,29500,2524,2831.44,3056.77,112.18,92.63,13732,12085.88,14825.65,88.01,81.52,63.65,71.4,77.08,70.16,61.75,75.75
27,Northern Region,Haryana,Central Sector,Total,Natural Gas,431.59,150,12,25.62,0,213.5,0,63,95.82,2.55,152.1,3757.65,NA,NA,NA,NA,NA,NA
28,Northern Region,Haryana,Central Sector,Total,Haryana,5761.59,29650,2536,2857.06,3056.77,112.66,93.47,13795,12181.7,14828.2,88.31,82.15,NA,NA,NA,NA,NA,NA
29,Northern Region,Himachal Pradesh,State Sector,KASHANG INTEGRATED HEP,NA,195,185,34,33.26,34.48,97.82,96.46,131,112.43,125.84,85.82,89.34,NA,NA,NA,NA,NA,NA
30,Northern Region,Himachal Pradesh,State Sector,SAINJ HPS,NA,100,389,74,76.58,80.03,103.49,95.69,242,225.89,256.23,93.34,88.16,NA,NA,NA,NA,NA,NA
31,Northern Region,Himachal Pradesh,State Sector,SAWRA KUDDU HPS,NA,111,300,56,52.51,62.37,93.77,84.19,164,196.75,173.29,119.97,113.54,NA,NA,NA,NA,NA,NA
32,Northern Region,Himachal Pradesh,State Sector,HPPCL,Hydro,406,874,164,162.35,176.88,98.99,91.79,537,535.07,555.36,99.64,96.35,NA,NA,NA,NA,NA,NA
33,Northern Region,Himachal Pradesh,State Sector,BASSI HPS,NA,66,304,46,43.75,47.71,95.11,91.7,199,196.55,197.81,98.77,99.36,NA,NA,NA,NA,NA,NA
34,Northern Region,Himachal Pradesh,State Sector,GIRI BATA HPS,NA,60,180,39,38.36,41.82,98.36,91.73,87,115.24,89.94,132.46,128.13,NA,NA,NA,NA,NA,NA
35,Northern Region,Himachal Pradesh,State Sector,LARJI HPS,NA,126,619,91,0,93.11,0,0,382,213.47,355.07,55.88,60.12,NA,NA,NA,NA,NA,NA
36,Northern Region,Himachal Pradesh,State Sector,SANJAY HPS,NA,120,550,72,93.45,70.99,129.79,131.64,307,334.05,378.54,108.81,88.25,NA,NA,NA,NA,NA,NA
37,Northern Region,Himachal Pradesh,State Sector,UHL-III HPS,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
38,Northern Region,Himachal Pradesh,State Sector,HPSEB,Hydro,372,1653,248,175.56,253.63,70.79,69.22,975,859.31,1021.36,88.13,84.13,NA,NA,NA,NA,NA,NA
39,Northern Region,Himachal Pradesh,State Sector,SHANAN HPS,NA,110,475,70,76.82,78.66,109.74,97.66,315,336.23,330.79,106.74,101.64,NA,NA,NA,NA,NA,NA
40,Northern Region,Himachal Pradesh,State Sector,PSPCL,Hydro,110,475,70,76.82,78.66,109.74,97.66,315,336.23,330.79,106.74,101.64,NA,NA,NA,NA,NA,NA
41,Northern Region,Himachal Pradesh,State Sector,State Sector,Hydro,888,3002,482,414.73,509.17,86.04,81.45,1827,1730.61,1907.51,94.72,90.73,NA,NA,NA,NA,NA,NA
42,Northern Region,Himachal Pradesh,Pvt Sector,ALLAIN DUHANGAN HPS,NA,192,653,128,110.32,138.58,86.19,79.61,456,409.76,431.79,89.86,94.9,NA,NA,NA,NA,NA,NA
43,Northern Region,Himachal Pradesh,Pvt Sector,ADHPL,Hydro,192,653,128,110.32,138.58,86.19,79.61,456,409.76,431.79,89.86,94.9,NA,NA,NA,NA,NA,NA
44,Northern Region,Himachal Pradesh,Pvt Sector,MALANA-II HPS,NA,100,348,78,0,78.59,0,0,249,105.87,240.56,42.52,44.01,NA,NA,NA,NA,NA,NA
45,Northern Region,Himachal Pradesh,Pvt Sector,E.P.P.L.,Hydro,100,348,78,0,78.59,0,0,249,105.87,240.56,42.52,44.01,NA,NA,NA,NA,NA,NA
46,Northern Region,Himachal Pradesh,Pvt Sector,BUDHIL HPS,NA,70,293,52,52.89,51.18,101.71,103.34,206,178.81,179.44,86.8,99.65,NA,NA,NA,NA,NA,NA
