State ,Month,Energy Requirement MU,Energy Availability MU
चंडीगढ़/ Chandigarh,Dec-23,117,117
दिल्ली / Delhi,Dec-23,2229,2229
हरियाणा / Haryana,Dec-23,4489,4489
हिमाचल प्रदेश / Himachal Pradesh,Dec-23,1154,1152
"यू.टी ऑफ़ जम्मू कश्मीर और लद्दाख / 
UTs of J&K and Ladakh ",Dec-23,1822,1809
पंजाब / Punjab,Dec-23,4291,4291
राजस्थान / Rajasthan,Dec-23,9331,9327
उत्तर प्रदेश / Uttar Pradesh,Dec-23,9839,9839
उत्तराखंड / Uttarakhand,Dec-23,1267,1263
उत्तरी क्षेत्र / Northern Region ,Dec-23,34651,34627
छत्तीसगढ़ / Chhattisgarh,Dec-23,2799,2799
गुजरात / Gujarat,Dec-23,11718,11717
मध्य प्रदेश / Madhya Pradesh,Dec-23,8968,8968
महाराष्ट्र / Maharashtra,Dec-23,16236,16236
"दादरा और नगर हवेली और दमन और दीव / 
Dadra & Nagar Haveli and Daman & Diu",Dec-23,881,881
गोवा / Goa,Dec-23,424,424
पश्चिमी क्षेत्र / Western Region,Dec-23,42001,42000
आन्ध्र प्रदेश / Andhra Pradesh,Dec-23,5780,5779
तेलंगाना / Telangana,Dec-23,6435,6433
कर्नाटक / Karnataka,Dec-23,7742,7740
केरल / Kerala,Dec-23,2552,2551
तमिल नाडू / Tamil Nadu,Dec-23,9353,9352
पुडुचेरी / Puducherry,Dec-23,263,263
लक्ष-द्वीप / Lakshadweep  #,Dec-23,5,5
दक्षिणी क्षेत्र / Southern Region,Dec-23,32128,32122
बिहार / Bihar,Dec-23,2613,2596
दामोदर घाटी निगम / DVC,Dec-23,2191,2190
झारखण्ड / Jharkhand,Dec-23,1379,1305
ओडिशा/ Odisha,Dec-23,2574,2572
पश्चिम बंगाल / West Bengal,Dec-23,4483,4479
सिक्किम / Sikkim,Dec-23,54,54
अंडमान-निकोबार/ Andaman- Nicobar #,Dec-23,32,31
पूर्वी क्षेत्र/ Eastern Region,Dec-23,13294,13197
अरुणाचल प्रदेश / Arunachal Pradesh,Dec-23,94,94
असम / Assam,Dec-23,818,818
मणिपुर / Manipur,Dec-23,98,96
मेघालय / Meghalaya ,Dec-23,199,197
मिज़ोरम / Mizoram ,Dec-23,62,62
नागालैंड / Nagaland ,Dec-23,74,74
त्रिपुरा / Tripura *,Dec-23,116,116
उत्तर-पूर्वी क्षेत्र  / North-Eastern Region      ,Dec-23,1461,1457
सम्पूर्ण भारत  / All India,Dec-23,123536,123403
