Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to March 2024 - Col (2),December` 2023 - Program - Col (3),December` 2023 - Actual - Col (4),December` 2023 - Actual Same Month 2022-23 - Col (5),December` 2023 - % of Program Col. (4/3) - Col (6),December` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to December` 2023 - Program - Col (8),April` 2023 to December` 2023 - Actual - Col (9),April` 2023 to December` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to December` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to December` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - December` 2023 - Program - Col (13),Plant Load Factor (%) - December` 2023 - Actual - Col (14),Plant Load Factor (%) - December` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to December` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to December` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to December` 2023 - Actual Same Peroid 2022-23 - Col (18)
1,Northern Region,Delhi,State Sector,I.P.CCPP,NA,270,175,12,28.16,29.72,234.67,94.75,133,237.37,256.4,178.47,92.58,NA,NA,NA,NA,NA,NA
2,Northern Region,Delhi,State Sector,IPGCL,Natural Gas,270,175,12,28.16,29.72,234.67,94.75,133,237.37,256.4,178.47,92.58,NA,NA,NA,NA,NA,NA
3,Northern Region,Delhi,State Sector,PRAGATI CCGT-III,NA,1500,4100,285,230.89,203.27,81.01,113.59,3010,1877.5,2087.55,62.38,89.94,NA,NA,NA,NA,NA,NA
4,Northern Region,Delhi,State Sector,PRAGATI CCPP,NA,330.4,1500,106,3.04,1.56,2.87,194.87,1119,776.23,765.96,69.37,101.34,NA,NA,NA,NA,NA,NA
5,Northern Region,Delhi,State Sector,PPCL,Natural Gas,1830.4,5600,391,233.93,204.83,59.83,114.21,4129,2653.73,2853.51,64.27,93,NA,NA,NA,NA,NA,NA
6,Northern Region,Delhi,State Sector,State Sector,Natural Gas,2100.4,5775,403,262.09,234.55,65.03,111.74,4262,2891.1,3109.91,67.83,92.96,NA,NA,NA,NA,NA,NA
7,Northern Region,Delhi,Pvt Sector,RITHALA CCPP,NA,108,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
8,Northern Region,Delhi,Pvt Sector,TPDDL,Natural Gas,108,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
9,Northern Region,Delhi,Pvt Sector,Pvt Sector,Natural Gas,108,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
10,Northern Region,Delhi,Pvt Sector,Total,Natural Gas,2208.4,5775,403,262.09,234.55,65.03,111.74,4262,2891.1,3109.91,67.83,92.96,NA,NA,NA,NA,NA,NA
11,Northern Region,Delhi,Pvt Sector,Total,Delhi,2208.4,5775,403,262.09,234.55,65.03,111.74,4262,2891.1,3109.91,67.83,92.96,NA,NA,NA,NA,NA,NA
12,Northern Region,Haryana,State Sector,PANIPAT TPS,NA,710,4000,323,235.32,425.67,72.85,55.28,3016,2787.33,3954.9,92.42,70.48,61.15,44.55,80.58,64.36,59.48,84.4
13,Northern Region,Haryana,State Sector,RAJIV GANDHI TPS,NA,1200,6100,557,264.55,570.61,47.5,46.36,4231,3392.33,5018.72,80.18,67.59,62.39,29.63,63.91,53.42,42.83,63.37
14,Northern Region,Haryana,State Sector,YAMUNA NAGAR TPS,NA,600,4200,356,334.96,241.68,94.09,138.6,3122,2503.93,3165.81,80.2,79.09,79.75,75.04,54.14,78.84,63.23,79.94
15,Northern Region,Haryana,State Sector,HPGCL,Coal,2510,14300,1236,834.83,1237.96,67.54,67.44,10369,8683.59,12139.43,83.75,71.53,66.19,44.7,66.29,62.59,52.42,73.28
16,Northern Region,Haryana,State Sector,State Sector,Thermal,2510,14300,1236,834.83,1237.96,67.54,67.44,10369,8683.59,12139.43,83.75,71.53,66.19,44.7,66.29,62.59,52.42,73.28
17,Northern Region,Haryana,Pvt Sector,MAHATMA GANDHI TPS,NA,1320,7600,644,780.15,754.27,121.14,103.43,6008,6504.2,6215.43,108.26,104.65,65.58,79.44,76.8,68.96,74.66,71.34
18,Northern Region,Haryana,Pvt Sector,JhPL (HR),Coal,1320,7600,644,780.15,754.27,121.14,103.43,6008,6504.2,6215.43,108.26,104.65,65.58,79.44,76.8,68.96,74.66,71.34
19,Northern Region,Haryana,Pvt Sector,Pvt Sector,Thermal,1320,7600,644,780.15,754.27,121.14,103.43,6008,6504.2,6215.43,108.26,104.65,65.58,79.44,76.8,68.96,74.66,71.34
20,Northern Region,Haryana,Central Sector,INDIRA GANDHI STPP,NA,1500,7600,595,643.4,713.98,108.13,90.11,5884,6253.59,6330.48,106.28,98.79,53.32,57.65,63.98,59.43,63.17,63.94
21,Northern Region,Haryana,Central Sector,APCPL,Coal,1500,7600,595,643.4,713.98,108.13,90.11,5884,6253.59,6330.48,106.28,98.79,53.32,57.65,63.98,59.43,63.17,63.94
22,Northern Region,Haryana,Central Sector,Central,Thermal,1500,7600,595,643.4,713.98,108.13,90.11,5884,6253.59,6330.48,106.28,98.79,53.32,57.65,63.98,59.43,63.17,63.94
23,Northern Region,Haryana,Central Sector,FARIDABAD CCPP,NA,431.59,150,12,0,0,0,0,111,137.28,2.59,123.68,5300.39,NA,NA,NA,NA,NA,NA
24,Northern Region,Haryana,Central Sector,NTPC Ltd.,Natural Gas,431.59,150,12,0,0,0,0,111,137.28,2.59,123.68,5300.39,NA,NA,NA,NA,NA,NA
25,Northern Region,Haryana,Central Sector,Central,Natural Gas,431.59,150,12,0,0,0,0,111,137.28,2.59,123.68,5300.39,NA,NA,NA,NA,NA,NA
26,Northern Region,Haryana,Central Sector,Total,Thermal,5330,29500,2475,2258.38,2706.21,91.25,83.45,22261,21441.38,24685.34,96.32,86.86,62.41,56.95,68.24,63.28,60.95,70.17
27,Northern Region,Haryana,Central Sector,Total,Natural Gas,431.59,150,12,0,0,0,0,111,137.28,2.59,123.68,5300.39,NA,NA,NA,NA,NA,NA
28,Northern Region,Haryana,Central Sector,Total,Haryana,5761.59,29650,2487,2258.38,2706.21,90.81,83.45,22372,21578.66,24687.93,96.45,87.41,NA,NA,NA,NA,NA,NA
29,Northern Region,Himachal Pradesh,State Sector,KASHANG INTEGRATED HEP,NA,195,185,5,5.46,1.6,109.2,341.25,172,162.8,142.02,94.65,114.63,NA,NA,NA,NA,NA,NA
30,Northern Region,Himachal Pradesh,State Sector,SAINJ HPS,NA,100,389,12,12.3,15.95,102.5,77.12,360,329.7,392.71,91.58,83.96,NA,NA,NA,NA,NA,NA
31,Northern Region,Himachal Pradesh,State Sector,SAWRA KUDDU HPS,NA,111,300,15,10.68,12.42,71.2,85.99,267,276.36,295.31,103.51,93.58,NA,NA,NA,NA,NA,NA
32,Northern Region,Himachal Pradesh,State Sector,HPPCL,Hydro,406,874,32,28.44,29.97,88.88,94.89,799,768.86,830.04,96.23,92.63,NA,NA,NA,NA,NA,NA
33,Northern Region,Himachal Pradesh,State Sector,BASSI HPS,NA,66,304,8,8.33,9.8,104.13,85,273,263.73,274.99,96.6,95.91,NA,NA,NA,NA,NA,NA
34,Northern Region,Himachal Pradesh,State Sector,GIRI BATA HPS,NA,60,180,8,11.03,13.27,137.88,83.12,151,202.41,201.97,134.05,100.22,NA,NA,NA,NA,NA,NA
35,Northern Region,Himachal Pradesh,State Sector,LARJI HPS,NA,126,619,18,0,22.91,0,0,565,213.47,547.42,37.78,39,NA,NA,NA,NA,NA,NA
36,Northern Region,Himachal Pradesh,State Sector,SANJAY HPS,NA,120,550,24,20.47,25.69,85.29,79.68,482,489.15,582.43,101.48,83.98,NA,NA,NA,NA,NA,NA
37,Northern Region,Himachal Pradesh,State Sector,UHL-III HPS,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
38,Northern Region,Himachal Pradesh,State Sector,HPSEB,Hydro,372,1653,58,39.83,71.67,68.67,55.57,1471,1168.76,1606.81,79.45,72.74,NA,NA,NA,NA,NA,NA
39,Northern Region,Himachal Pradesh,State Sector,SHANAN HPS,NA,110,475,15,13.46,15.9,89.73,84.65,420,441.52,450.97,105.12,97.9,NA,NA,NA,NA,NA,NA
40,Northern Region,Himachal Pradesh,State Sector,PSPCL,Hydro,110,475,15,13.46,15.9,89.73,84.65,420,441.52,450.97,105.12,97.9,NA,NA,NA,NA,NA,NA
41,Northern Region,Himachal Pradesh,State Sector,State Sector,Hydro,888,3002,105,81.73,117.54,77.84,69.53,2690,2379.14,2887.82,88.44,82.39,NA,NA,NA,NA,NA,NA
42,Northern Region,Himachal Pradesh,Pvt Sector,ALLAIN DUHANGAN HPS,NA,192,653,16,16.36,18.19,102.25,89.94,613,549.36,595.12,89.62,92.31,NA,NA,NA,NA,NA,NA
43,Northern Region,Himachal Pradesh,Pvt Sector,ADHPL,Hydro,192,653,16,16.36,18.19,102.25,89.94,613,549.36,595.12,89.62,92.31,NA,NA,NA,NA,NA,NA
44,Northern Region,Himachal Pradesh,Pvt Sector,MALANA-II HPS,NA,100,348,5,2.86,7.84,57.2,36.48,331,132.16,324.06,39.93,40.78,NA,NA,NA,NA,NA,NA
