State ,Month,Energy Requirement MU,Energy Availability MU
चंडीगढ़/ Chandigarh,Jul-23,189,189
दिल्ली / Delhi,Jul-23,3942,3942
हरियाणा / Haryana,Jul-23,6713,6708
हिमाचल प्रदेश / Himachal Pradesh,Jul-23,1078,1075
"यू.टी ऑफ़ जम्मू कश्मीर और लद्दाख / 
UTs of J&K and Ladakh ",Jul-23,1539,1523
पंजाब / Punjab,Jul-23,8242,8242
राजस्थान / Rajasthan,Jul-23,8367,8343
उत्तर प्रदेश / Uttar Pradesh,Jul-23,15330,15307
उत्तराखंड / Uttarakhand,Jul-23,1357,1342
उत्तरी क्षेत्र / Northern Region ,Jul-23,46869,46782
छत्तीसगढ़ / Chhattisgarh,Jul-23,3360,3355
गुजरात / Gujarat,Jul-23,11889,11889
मध्य प्रदेश / Madhya Pradesh,Jul-23,10980,10980
महाराष्ट्र / Maharashtra,Jul-23,16399,16395
"दादरा और नगर हवेली और दमन और दीव / 
Dadra & Nagar Haveli and Daman & Diu",Jul-23,792,792
गोवा / Goa,Jul-23,392,392
पश्चिमी क्षेत्र / Western Region,Jul-23,44476,44466
आन्ध्र प्रदेश / Andhra Pradesh,Jul-23,6345,6345
तेलंगाना / Telangana,Jul-23,6390,6390
कर्नाटक / Karnataka,Jul-23,6170,6170
केरल / Kerala,Jul-23,2306,2306
तमिल नाडू / Tamil Nadu,Jul-23,10699,10699
पुडुचेरी / Puducherry,Jul-23,303,303
लक्ष-द्वीप / Lakshadweep  #,Jul-23,5,5
दक्षिणी क्षेत्र / Southern Region,Jul-23,32218,32218
बिहार / Bihar,Jul-23,4414,4354
दामोदर घाटी निगम / DVC,Jul-23,2348,2348
झारखण्ड / Jharkhand,Jul-23,1282,1270
ओडिशा/ Odisha,Jul-23,3848,3848
पश्चिम बंगाल / West Bengal,Jul-23,6820,6815
सिक्किम / Sikkim,Jul-23,38,38
अंडमान-निकोबार/ Andaman- Nicobar #,Jul-23,30,29
पूर्वी क्षेत्र/ Eastern Region,Jul-23,18756,18677
अरुणाचल प्रदेश / Arunachal Pradesh,Jul-23,83,83
असम / Assam,Jul-23,1320,1320
मणिपुर / Manipur,Jul-23,82,82
मेघालय / Meghalaya ,Jul-23,188,165
मिज़ोरम / Mizoram ,Jul-23,56,56
नागालैंड / Nagaland ,Jul-23,88,88
त्रिपुरा / Tripura *,Jul-23,152,152
उत्तर-पूर्वी क्षेत्र  / North-Eastern Region      ,Jul-23,1971,1947
सम्पूर्ण भारत  / All India,Jul-23,144289,144090
