Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),July` 2023 - Program - Col (3),July` 2023 - Actual - Col (4),July` 2023 - Actual Same Month 2022-23 - Col (5),July` 2023 - % of Program Col. (4/3) - Col (6),July` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to July` 2023 - Program - Col (8),April` 2023 to July` 2023 - Actual - Col (9),April` 2023 to July` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to July` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to July` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - July` 2023 - Program - Col (13),Plant Load Factor (%) - July` 2023 - Actual - Col (14),Plant Load Factor (%) - July` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to July` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to July` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to July` 2023 - Actual Same Peroid 2022-23 - Col (18)
1,Northern Region,Delhi,State Sector,I.P.CCPP,NA,270,175,12,27.58,27.58,229.83,100,65,108.45,115.04,166.85,94.27,NA,NA,NA,NA,NA,NA
2,Northern Region,Delhi,State Sector,IPGCL,Natural Gas,270,175,12,27.58,27.58,229.83,100,65,108.45,115.04,166.85,94.27,NA,NA,NA,NA,NA,NA
3,Northern Region,Delhi,State Sector,PRAGATI CCGT-III,NA,1500,4100,342,91.46,214.86,26.74,42.57,1408,468.99,1110.39,33.31,42.24,NA,NA,NA,NA,NA,NA
4,Northern Region,Delhi,State Sector,PRAGATI CCPP,NA,330.4,1500,119,121.82,132.37,102.37,92.03,576,337.64,565.24,58.62,59.73,NA,NA,NA,NA,NA,NA
5,Northern Region,Delhi,State Sector,PPCL,Natural Gas,1830.4,5600,461,213.28,347.23,46.26,61.42,1984,806.63,1675.63,40.66,48.14,NA,NA,NA,NA,NA,NA
6,Northern Region,Delhi,State Sector,State Sector,Natural Gas,2100.4,5775,473,240.86,374.81,50.92,64.26,2049,915.08,1790.67,44.66,51.1,NA,NA,NA,NA,NA,NA
7,Northern Region,Delhi,Pvt Sector,RITHALA CCPP,NA,108,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
8,Northern Region,Delhi,Pvt Sector,TPDDL,Natural Gas,108,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
9,Northern Region,Delhi,Pvt Sector,Pvt Sector,Natural Gas,108,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
10,Northern Region,Delhi,Pvt Sector,Total,Natural Gas,2208.4,5775,473,240.86,374.81,50.92,64.26,2049,915.08,1790.67,44.66,51.1,NA,NA,NA,NA,NA,NA
11,Northern Region,Delhi,Pvt Sector,Total,Delhi,2208.4,5775,473,240.86,374.81,50.92,64.26,2049,915.08,1790.67,44.66,51.1,NA,NA,NA,NA,NA,NA
12,Northern Region,Haryana,State Sector,PANIPAT TPS,NA,710,4000,305,430.22,458.14,141.06,93.91,1446,1306.99,1789.02,90.39,73.06,57.74,81.44,86.73,69.56,62.87,86.06
13,Northern Region,Haryana,State Sector,RAJIV GANDHI TPS,NA,1200,6100,553,267.13,620.32,48.31,43.06,2591,1433.98,1945.6,55.34,73.7,61.94,29.92,69.48,73.74,40.81,55.37
14,Northern Region,Haryana,State Sector,YAMUNA NAGAR TPS,NA,600,4200,320,293.92,370.68,91.85,79.29,1438,1209.31,1523.84,84.1,79.36,71.68,65.84,83.04,81.85,68.84,86.74
15,Northern Region,Haryana,State Sector,HPGCL,Coal,2510,14300,1178,991.27,1449.14,84.15,68.4,5475,3950.28,5258.46,72.15,75.12,63.08,53.08,77.6,74.5,53.75,71.55
16,Northern Region,Haryana,State Sector,State Sector,Thermal,2510,14300,1178,991.27,1449.14,84.15,68.4,5475,3950.28,5258.46,72.15,75.12,63.08,53.08,77.6,74.5,53.75,71.55
17,Northern Region,Haryana,Pvt Sector,MAHATMA GANDHI TPS,NA,1320,7600,614,718.48,801.6,117.02,89.63,2868,2718.87,3007.71,94.8,90.4,62.52,73.16,81.62,74.21,70.35,77.82
18,Northern Region,Haryana,Pvt Sector,JhPL (HR),Coal,1320,7600,614,718.48,801.6,117.02,89.63,2868,2718.87,3007.71,94.8,90.4,62.52,73.16,81.62,74.21,70.35,77.82
19,Northern Region,Haryana,Pvt Sector,Pvt Sector,Thermal,1320,7600,614,718.48,801.6,117.02,89.63,2868,2718.87,3007.71,94.8,90.4,62.52,73.16,81.62,74.21,70.35,77.82
20,Northern Region,Haryana,Central Sector,INDIRA GANDHI STPP,NA,1500,7600,603,675.5,710.2,112.02,95.11,2865,2585.29,3502.71,90.24,73.81,54.03,60.53,63.64,65.23,58.86,79.75
21,Northern Region,Haryana,Central Sector,APCPL,Coal,1500,7600,603,675.5,710.2,112.02,95.11,2865,2585.29,3502.71,90.24,73.81,54.03,60.53,63.64,65.23,58.86,79.75
22,Northern Region,Haryana,Central Sector,CENTRAL,Thermal,1500,7600,603,675.5,710.2,112.02,95.11,2865,2585.29,3502.71,90.24,73.81,54.03,60.53,63.64,65.23,58.86,79.75
