State ,Month,Energy Requirement MU,Energy Availability MU
चंडीगढ़/ Chandigarh,Jun-23,185.52,185.52
दिल्ली / Delhi,Jun-23,3672.3139625,3671.805
हरियाणा / Haryana,Jun-23,6126.142018095,6104.533018095
हिमाचल प्रदेश / Himachal Pradesh,Jun-23,1027.67,1025.3
"यू.टी ऑफ़ जम्मू कश्मीर और लद्दाख / 
UTs of J&K and Ladakh ",Jun-23,1556.744,1531.094
पंजाब / Punjab,Jun-23,7018.66245122773,7018.66245122773
राजस्थान / Rajasthan,Jun-23,8141.411,8138.193
उत्तर प्रदेश / Uttar Pradesh,Jun-23,15146.6200507055,15139.751592
उत्तराखंड / Uttarakhand,Jun-23,1483.4478,1479.1378
उत्तरी क्षेत्र / Northern Region ,Jun-23,44468.7812825282,44404.2468613227
छत्तीसगढ़ / Chhattisgarh,Jun-23,3372.0515344779,3370.8642844779
गुजरात / Gujarat,Jun-23,12392.223539,12392.223539
मध्य प्रदेश / Madhya Pradesh,Jun-23,7442.591970226,7442.591970226
महाराष्ट्र / Maharashtra,Jun-23,18028.5938,18005.0638
"दादरा और नगर हवेली और दमन और दीव / 
Dadra & Nagar Haveli and Daman & Diu",Jun-23,791.7707,791.7707
गोवा / Goa,Jun-23,398.88684,398.88684
पश्चिमी क्षेत्र / Western Region,Jun-23,43052.8495685639,43028.1323185639
आन्ध्र प्रदेश / Andhra Pradesh,Jun-23,7118.646327,7118.646327
तेलंगाना / Telangana,Jun-23,6001.116975,6001.116975
कर्नाटक / Karnataka,Jun-23,7351.92568509543,7351.92568509543
केरल / Kerala,Jun-23,2443.357794335,2443.357794335
तमिल नाडू / Tamil Nadu,Jun-23,10868.27907131,10868.27907131
पुडुचेरी / Puducherry,Jun-23,310.7218473,310.7218473
लक्ष-द्वीप / Lakshadweep  #,Jun-23,5.2601,5.2601
दक्षिणी क्षेत्र / Southern Region,Jun-23,34098.0931624504,34098.0931624504
बिहार / Bihar,Jun-23,4172.53991558866,4087.439436422
दामोदर घाटी निगम / DVC,Jun-23,2260.06031674147,2260.06031674147
झारखण्ड / Jharkhand,Jun-23,1288.494077526,1269.597952526
ओडिशा/ Odisha,Jun-23,3833.572182333,3833.572182333
पश्चिम बंगाल / West Bengal,Jun-23,6380.88714399255,6366.761869832
सिक्किम / Sikkim,Jun-23,40.981040223,40.981040223
अंडमान-निकोबार/ Andaman- Nicobar #,Jun-23,30.83,29.59
पूर्वी क्षेत्र/ Eastern Region,Jun-23,17981.8046764047,17863.6827980775
अरुणाचल प्रदेश / Arunachal Pradesh,Jun-23,75.82232726,75.82232726
असम / Assam,Jun-23,1141.37932602969,1139.161074352
मणिपुर / Manipur,Jun-23,70.819232179,70.819232179
मेघालय / Meghalaya ,Jun-23,179.9643455881,145.658043001
मिज़ोरम / Mizoram ,Jun-23,51.2211284,51.2211284
नागालैंड / Nagaland ,Jun-23,80.91824379,80.91824379
त्रिपुरा / Tripura *,Jun-23,134.1430705,134.1430705
उत्तर-पूर्वी क्षेत्र  / North-Eastern Region      ,Jun-23,1734.93029694679,1698.405742682
सम्पूर्ण भारत  / All India,Jun-23,141336.458986894,141092.560883097
