State ,Month,Energy Requirement MU,Energy Availability MU
चंडीगढ़/ Chandigarh,Mar-23,101.6,101.6
दिल्ली / Delhi,Mar-23,2130.478,2130.279
हरियाणा / Haryana,Mar-23,3911.822,3909.16
हिमाचल प्रदेश / Himachal Pradesh,Mar-23,1025.63,1023.16
"यू.टी ऑफ़ जम्मू कश्मीर और लद्दाख / 
UTs of J&K and Ladakh ",Mar-23,1725.61,1717.93
पंजाब / Punjab,Mar-23,4275.01,4259.19
राजस्थान / Rajasthan,Mar-23,7541.57,7509.03
उत्तर प्रदेश / Uttar Pradesh,Mar-23,9619.29,9613.89
उत्तराखंड / Uttarakhand,Mar-23,1161.761,1149.01
उत्तरी क्षेत्र / Northern Region ,Mar-23,31616.301,31536.779
छत्तीसगढ़ / Chhattisgarh,Mar-23,3522.615219,3519.613719
गुजरात / Gujarat,Mar-23,11336.89609,11336.89609
मध्य प्रदेश / Madhya Pradesh,Mar-23,7524.602891,7496.421383
महाराष्ट्र / Maharashtra,Mar-23,17010.05555,17009.96633
"दादरा और नगर हवेली और दमन और दीव / 
Dadra & Nagar Haveli and Daman & Diu",Mar-23,791.7707,791.7707
गोवा / Goa,Mar-23,405.46282,405.46282
पश्चिमी क्षेत्र / Western Region,Mar-23,41254.96845,41223.69623
आन्ध्र प्रदेश / Andhra Pradesh,Mar-23,6711.89014,6711.89014
तेलंगाना / Telangana,Mar-23,8909.39502,8909.39502
कर्नाटक / Karnataka,Mar-23,8602.621995,8602.621995
केरल / Kerala,Mar-23,2713.099073,2713.099073
तमिल नाडू / Tamil Nadu,Mar-23,10799.8363,10799.8363
पुडुचेरी / Puducherry,Mar-23,263.8251642,263.8251642
लक्ष-द्वीप / Lakshadweep  #,Mar-23,6.01565,6.01565
दक्षिणी क्षेत्र / Southern Region,Mar-23,38005.00362,38005.00362
बिहार / Bihar,Mar-23,2882.105319,2863.953819
दामोदर घाटी निगम / DVC,Mar-23,2239.638907,2239.638907
झारखण्ड / Jharkhand,Mar-23,1106.484301,1034.630301
ओडिशा/ Odisha,Mar-23,3441.362624,3441.362624
पश्चिम बंगाल / West Bengal,Mar-23,4982.247482,4977.483482
सिक्किम / Sikkim,Mar-23,50.49075133,50.49075133
अंडमान-निकोबार/ Andaman- Nicobar #,Mar-23,31.82,31.37
पूर्वी क्षेत्र/ Eastern Region,Mar-23,14709.64234,14614.87284
अरुणाचल प्रदेश / Arunachal Pradesh,Mar-23,86.89744396,83.19240168
असम / Assam,Mar-23,843.6235207,843.6235207
मणिपुर / Manipur,Mar-23,83.4281472,83.4281472
मेघालय / Meghalaya ,Mar-23,190.6429139,190.6429139
मिज़ोरम / Mizoram ,Mar-23,51.8784832,51.8784832
नागालैंड / Nagaland ,Mar-23,75.36476404,70.3558708
त्रिपुरा / Tripura *,Mar-23,121.0487895,121.0487895
उत्तर-पूर्वी क्षेत्र  / North-Eastern Region      ,Mar-23,1453.409961,1444.696025
सम्पूर्ण भारत  / All India,Mar-23,127039.3254,126825.0477
