State ,Month,Energy Requirement MU,Energy Availability MU
??????/ Chandigarh,May-23,157,157
?????? / Delhi,May-23,3119,3119
??????? / Haryana,May-23,5079,5064
?????? ?????? / Himachal Pradesh,May-23,921,918
"??.?? ?? ????? ?????? ?? ?????? / 
UTs of J&K and Ladakh ",May-23,1726,1714
????? / Punjab,May-23,5220,5220
???????? / Rajasthan,May-23,8271,8209
????? ?????? / Uttar Pradesh,May-23,13284,13246
????????? / Uttarakhand,May-23,1335,1331
?????? ??????? / Northern Region ,May-23,39221,39086
???????? / Chhattisgarh,May-23,3637,3637
?????? / Gujarat,May-23,13824,13824
???? ?????? / Madhya Pradesh,May-23,7659,7659
?????????? / Maharashtra,May-23,17719,17705
"????? ?? ??? ????? ?? ??? ?? ??? / 
Dadra & Nagar Haveli and Daman & Diu",May-23,792,792
???? / Goa,May-23,415,415
??????? ??????? / Western Region,May-23,44625,44611
?????? ?????? / Andhra Pradesh,May-23,6872,6861
???????? / Telangana,May-23,5572,5570
??????? / Karnataka,May-23,7519,7518
???? / Kerala,May-23,2851,2851
???? ???? / Tamil Nadu,May-23,10812,10810
???????? / Puducherry,May-23,315,315
????-????? / Lakshadweep  #,May-23,6,6
??????? ??????? / Southern Region,May-23,33947,33930
????? / Bihar,May-23,3784,3724
?????? ???? ???? / DVC,May-23,2297,2297
??????? / Jharkhand,May-23,1304,1242
?????/ Odisha,May-23,3788,3788
?????? ????? / West Bengal,May-23,6027,6014
??????? / Sikkim,May-23,44,44
??????-???????/ Andaman- Nicobar #,May-23,34,33
?????? ???????/ Eastern Region,May-23,17263,17127
??????? ?????? / Arunachal Pradesh,May-23,76,76
??? / Assam,May-23,1033,1030
?????? / Manipur,May-23,73,73
?????? / Meghalaya ,May-23,195,156
?????? / Mizoram ,May-23,52,52
???????? / Nagaland ,May-23,74,74
???????? / Tripura *,May-23,163,163
?????-?????? ???????  / North-Eastern Region      ,May-23,1667,1625
???????? ????  / All India,May-23,136722,136379
