State ,Month,Energy Requirement MU,Energy Availability MU
चंडीगढ़/ Chandigarh,Nov-23,102,102
दिल्ली / Delhi,Nov-23,2117,2117
हरियाणा / Haryana,Nov-23,3915,3915
हिमाचल प्रदेश / Himachal Pradesh,Nov-23,989,986
"यू.टी ऑफ़ जम्मू कश्मीर और लद्दाख / 
UTs of J&K and Ladakh ",Nov-23,1586,1568
पंजाब / Punjab,Nov-23,3842,3842
राजस्थान / Rajasthan,Nov-23,8760,8759
उत्तर प्रदेश / Uttar Pradesh,Nov-23,9616,9580
उत्तराखंड / Uttarakhand,Nov-23,1102,1099
उत्तरी क्षेत्र / Northern Region ,Nov-23,32145,32084
छत्तीसगढ़ / Chhattisgarh,Nov-23,2709,2709
गुजरात / Gujarat,Nov-23,10857,10857
मध्य प्रदेश / Madhya Pradesh,Nov-23,9007,9007
महाराष्ट्र / Maharashtra,Nov-23,16754,16754
"दादरा और नगर हवेली और दमन और दीव / 
Dadra & Nagar Haveli and Daman & Diu",Nov-23,800,800
गोवा / Goa,Nov-23,421,421
पश्चिमी क्षेत्र / Western Region,Nov-23,41478,41478
आन्ध्र प्रदेश / Andhra Pradesh,Nov-23,6314,6314
तेलंगाना / Telangana,Nov-23,6147,6147
कर्नाटक / Karnataka,Nov-23,7037,7037
केरल / Kerala,Nov-23,2421,2420
तमिल नाडू / Tamil Nadu,Nov-23,8829,8829
पुडुचेरी / Puducherry,Nov-23,255,255
लक्ष-द्वीप / Lakshadweep  #,Nov-23,5,5
दक्षिणी क्षेत्र / Southern Region,Nov-23,31007,31006
बिहार / Bihar,Nov-23,2549,2538
दामोदर घाटी निगम / DVC,Nov-23,1888,1888
झारखण्ड / Jharkhand,Nov-23,1089,1061
ओडिशा/ Odisha,Nov-23,3019,3014
पश्चिम बंगाल / West Bengal,Nov-23,4753,4747
सिक्किम / Sikkim,Nov-23,41,40
अंडमान-निकोबार/ Andaman- Nicobar #,Nov-23,33,31
पूर्वी क्षेत्र/ Eastern Region,Nov-23,13340,13289
अरुणाचल प्रदेश / Arunachal Pradesh,Nov-23,82,82
असम / Assam,Nov-23,851,851
मणिपुर / Manipur,Nov-23,80,80
मेघालय / Meghalaya ,Nov-23,186,186
मिज़ोरम / Mizoram ,Nov-23,58,58
नागालैंड / Nagaland ,Nov-23,69,69
त्रिपुरा / Tripura *,Nov-23,123,123
उत्तर-पूर्वी क्षेत्र  / North-Eastern Region      ,Nov-23,1451,1450
सम्पूर्ण भारत  / All India,Nov-23,119421,119308
