Sl. No.,Regions,State/UT,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April` 2023 to March 2024 - Col (2),November` 2023 - Program - Col (3),November` 2023 - Actual - Col (4),November` 2023 - Actual Same Month 2022-23 - Col (5),November` 2023 - % of Program  ( 4/3) - Col (6),November` 2023 - % of Last Year  ( 4/5)- Col (7),April` 2023 to November` 2023 - Program - Col (8),April` 2023 to November` 2023 - Actual - Col (9),April` 2023 to November` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to November` 2023 - % of Program ( 9/8) - Col (11),April` 2023 to November` 2023 - % of Last Year ( 9/10) - Col (12),Plant Load Factor ( %) - November` 2023 - Program - Col (13),Plant Load Factor ( %) - November` 2023 - Actual - Col (14),Plant Load Factor ( %) - November 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor ( %) - April 2023 to November` 2023 - Program - Col (16),Plant Load Factor ( %) - April` 2023 to November` 2023 - Actual - Col (17),Plant Load Factor ( %) - April` 2023 to November` 2023 - Actual Same Period 2022-23 - Col (18)
1,Northern Region,Delhi,State Sector,I.P.CCPP,NA,270,175,14,27.42,28.24,195.86,97.1,121,209.21,226.68,172.9,92.29,NA,NA,NA,NA,NA,NA
2,Northern Region,Delhi,State Sector,IPGCL,Natural Gas,270,175,14,27.42,28.24,195.86,97.1,121,209.21,226.68,172.9,92.29,NA,NA,NA,NA,NA,NA
3,Northern Region,Delhi,State Sector,PRAGATI CCGT-III,NA,1500,4100,306,206.32,204.94,67.42,100.67,2725,1646.61,1884.28,60.43,87.39,NA,NA,NA,NA,NA,NA
4,Northern Region,Delhi,State Sector,PRAGATI CCPP,NA,330.4,1500,78,0,0,0,0,1013,773.19,764.4,76.33,101.15,NA,NA,NA,NA,NA,NA
5,Northern Region,Delhi,State Sector,PPCL,Natural Gas,1830.4,5600,384,206.32,204.94,53.73,100.67,3738,2419.8,2648.68,64.74,91.36,NA,NA,NA,NA,NA,NA
6,Northern Region,Delhi,State Sector,State Sector,Natural Gas,2100.4,5775,398,233.74,233.18,58.73,100.24,3859,2629.01,2875.36,68.13,91.43,NA,NA,NA,NA,NA,NA
7,Northern Region,Delhi,State Sector,RITHALA CCPP,NA,108,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
8,Northern Region,Delhi,State Sector,TPDDL,Natural Gas,108,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
9,Northern Region,Delhi,Pvt Sector,Pvt Sector,Natural Gas,108,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
10,Northern Region,Delhi,Pvt Sector,Total,Natural Gas,2208.4,5775,398,233.74,233.18,58.73,100.24,3859,2629.01,2875.36,68.13,91.43,NA,NA,NA,NA,NA,NA
