State ,Month,Energy Requirement MU,Energy Availability MU
qeqeqeqe /Chandigarh,Oct-23,127,127
qwqwq /Delhi,Oct-23,2860,2859
qwqw /Haryana,Oct-23,5356,5324
232 /Himachal Pradesh,Oct-23,1156,1152
"यू.टी ऑफ़ जम्मू कश्मीर और लद्दाख / 
UTs of J&K and Ladakh ",Oct-23,1540,1504
पंजाब / Punjab,Oct-23,5259,5259
राजस्थान / Rajasthan,Oct-23,9166,9110
उत्तर प्रदेश / Uttar Pradesh,Oct-23,12240,12231
उत्तराखंड / Uttarakhand,Oct-23,1239,1230
उत्तरी क्षेत्र / Northern Region ,Oct-23,39056,38910
छत्तीसगढ़ / Chhattisgarh,Oct-23,3364,3355
गुजरात / Gujarat,Oct-23,13094,13094
मध्य प्रदेश / Madhya Pradesh,Oct-23,9011,9011
महाराष्ट्र / Maharashtra,Oct-23,18056,18051
"दादरा और नगर हवेली और दमन और दीव / 
Dadra & Nagar Haveli and Daman & Diu",Oct-23,897,897
गोवा / Goa,Oct-23,374,374
पश्चिमी क्षेत्र / Western Region,Oct-23,45740,45725
आन्ध्र प्रदेश / Andhra Pradesh,Oct-23,7284,7281
तेलंगाना / Telangana,Oct-23,8168,8166
कर्नाटक / Karnataka,Oct-23,7777,7706
केरल / Kerala,Oct-23,2471,2470
तमिल नाडू / Tamil Nadu,Oct-23,10712,10709
पुडुचेरी / Puducherry,Oct-23,305,305
लक्ष-द्वीप / Lakshadweep  #,Oct-23,5,5
दक्षिणी क्षेत्र / Southern Region,Oct-23,36722,36642
बिहार / Bihar,Oct-23,3466,3383
दामोदर घाटी निगम / DVC,Oct-23,2198,2197
झारखण्ड / Jharkhand,Oct-23,1196,1156
ओडिशा/ Odisha,Oct-23,3693,3683
पश्चिम बंगाल / West Bengal,Oct-23,5980,5973
सिक्किम / Sikkim,Oct-23,31,31
अंडमान-निकोबार/ Andaman- Nicobar #,Oct-23,32,31
पूर्वी क्षेत्र/ Eastern Region,Oct-23,16567,16425
अरुणाचल प्रदेश / Arunachal Pradesh,Oct-23,92,92
असम / Assam,Oct-23,1097,1093
मणिपुर / Manipur,Oct-23,82,82
मेघालय / Meghalaya ,Oct-23,180,176
मिज़ोरम / Mizoram ,Oct-23,53,53
नागालैंड / Nagaland ,Oct-23,82,82
त्रिपुरा / Tripura *,Oct-23,161,161
उत्तर-पूर्वी क्षेत्र  / North-Eastern Region      ,Oct-23,1748,1739
सम्पूर्ण भारत  / All India,Oct-23,139832,139441
