Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),October` 2023 - Program - Col (3),October` 2023 - Actual - Col (4),October` 2023 - Actual Same Month 2022-23 - Col (5),October` 2023 - % of Program Col. (4/3) - Col (6),October` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to October` 2023 - Program - Col (8),April` 2023 to October` 2023 - Actual - Col (9),April` 2023 to October` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to October` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to October` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - October` 2023 - Program - Col (13),Plant Load Factor (%) - October` 2023 - Actual - Col (14),Plant Load Factor (%) - October` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to October` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to October` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to October` 2023 - Actual Same Peroid 2022-23 - Col (18)
1,Northern Region,Delhi,State Sector,I.P.CCPP,NA,270,175,12,28.09,27.57,234.08,101.89,107,181.79,198.44,169.9,91.61,NA,NA,NA,NA,NA,NA
2,Northern Region,Delhi,State Sector,IPGCL,Natural Gas,270,175,12,28.09,27.57,234.08,101.89,107,181.79,198.44,169.9,91.61,NA,NA,NA,NA,NA,NA
3,Northern Region,Delhi,State Sector,PRAGATI CCGT-III,NA,1500,4100,311,367.66,129.1,118.22,284.79,2419,1440.29,1679.34,59.54,85.77,NA,NA,NA,NA,NA,NA
4,Northern Region,Delhi,State Sector,PRAGATI CCPP,NA,330.4,1500,109,86.56,0,79.41,0,935,773.19,764.4,82.69,101.15,NA,NA,NA,NA,NA,NA
5,Northern Region,Delhi,State Sector,PPCL,Natural Gas,1830.4,5600,420,454.22,129.1,108.15,351.84,3354,2213.48,2443.74,66,90.58,NA,NA,NA,NA,NA,NA
6,Northern Region,Delhi,State Sector,State Sector,Natural Gas,2100.4,5775,432,482.31,156.67,111.65,307.85,3461,2395.27,2642.18,69.21,90.66,NA,NA,NA,NA,NA,NA
7,Northern Region,Delhi,Pvt Sector,RITHALA CCPP,NA,108,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
8,Northern Region,Delhi,Pvt Sector,TPDDL,Natural Gas,108,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
9,Northern Region,Delhi,Pvt Sector,Pvt Sector,Natural Gas,108,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
10,Northern Region,Delhi,Pvt Sector,Total,Natural Gas,2208.4,5775,432,482.31,156.67,111.65,307.85,3461,2395.27,2642.18,69.21,90.66,NA,NA,NA,NA,NA,NA
11,Northern Region,Delhi,Pvt Sector,Total,Delhi,2208.4,5775,432,482.31,156.67,111.65,307.85,3461,2395.27,2642.18,69.21,90.66,NA,NA,NA,NA,NA,NA
12,Northern Region,Haryana,State Sector,PANIPAT TPS,NA,710,4000,298,272.11,443.31,91.31,61.38,2370,2426.66,3103.84,102.39,78.18,56.41,51.51,83.92,64.99,66.55,85.12
13,Northern Region,Haryana,State Sector,RAJIV GANDHI TPS,NA,1200,6100,0,528.19,612.99,0,86.17,3530,2835.74,3887.89,80.33,72.94,0,59.16,68.66,57.28,46.01,63.08
14,Northern Region,Haryana,State Sector,YAMUNA NAGAR TPS,NA,600,4200,312,238.25,372.79,76.36,63.91,2422,2111.75,2666.05,87.19,79.21,69.89,53.37,83.51,78.6,68.53,86.52
15,Northern Region,Haryana,State Sector,HPGCL,Coal,2510,14300,610,1038.55,1429.09,170.25,72.67,8322,7374.15,9657.78,88.61,76.35,32.67,55.61,76.53,64.55,57.2,74.92
16,Northern Region,Haryana,State Sector,State Sector,Thermal,2510,14300,610,1038.55,1429.09,170.25,72.67,8322,7374.15,9657.78,88.61,76.35,32.67,55.61,76.53,64.55,57.2,74.92
17,Northern Region,Haryana,Pvt Sector,MAHATMA GANDHI TPS,NA,1320,7600,599,839.54,458.1,140.16,183.27,4716,4978.6,4794.17,105.57,103.85,60.99,85.49,46.65,69.56,73.44,70.72
18,Northern Region,Haryana,Pvt Sector,JhPL(HR),Coal,1320,7600,599,839.54,458.1,140.16,183.27,4716,4978.6,4794.17,105.57,103.85,60.99,85.49,46.65,69.56,73.44,70.72
19,Northern Region,Haryana,Pvt Sector,Pvt Sector,Thermal,1320,7600,599,839.54,458.1,140.16,183.27,4716,4978.6,4794.17,105.57,103.85,60.99,85.49,46.65,69.56,73.44,70.72
20,Northern Region,Haryana,Central Sector,INDIRA GANDHI STPP,NA,1500,7600,585,797.04,397.36,136.25,200.58,4694,4944.01,5348.58,105.33,92.44,52.42,71.42,35.61,60.93,64.17,69.43
21,Northern Region,Haryana,Central Sector,APCPL,Coal,1500,7600,585,797.04,397.36,136.25,200.58,4694,4944.01,5348.58,105.33,92.44,52.42,71.42,35.61,60.93,64.17,69.43
22,Northern Region,Haryana,Central Sector,CENTRAL,Thermal,1500,7600,585,797.04,397.36,136.25,200.58,4694,4944.01,5348.58,105.33,92.44,52.42,71.42,35.61,60.93,64.17,69.43
23,Northern Region,Haryana,Central Sector,FARIDABAD CCPP,NA,431.59,150,12,18.17,0,151.42,0,87,137.28,2.59,157.79,5300.39,NA,NA,NA,NA,NA,NA
24,Northern Region,Haryana,Central Sector,NTPC Ltd.,Natural Gas,431.59,150,12,18.17,0,151.42,0,87,137.28,2.59,157.79,5300.39,NA,NA,NA,NA,NA,NA
25,Northern Region,Haryana,Central Sector,Central,Natural Gas,431.59,150,12,18.17,0,151.42,0,87,137.28,2.59,157.79,5300.39,NA,NA,NA,NA,NA,NA
26,Northern Region,Haryana,Central Sector,Total,Thermal,5330,29500,1794,2675.13,2284.55,149.12,117.1,17732,17296.76,19800.53,97.55,87.36,45.24,67.46,57.61,64.77,63.18,72.33
27,Northern Region,Haryana,Central Sector,Total,Natural Gas,431.59,150,12,18.17,0,151.42,0,87,137.28,2.59,157.79,5300.39,NA,NA,NA,NA,NA,NA
28,Northern Region,Haryana,Central Sector,Total,Haryana,5761.59,29650,1806,2693.3,2284.55,149.13,117.89,17819,17434.04,19803.12,97.84,88.04,NA,NA,NA,NA,NA,NA
29,Northern Region,Himachal Pradesh,State Sector,KASHANG INTEGRATED HEP,NA,195,185,10,9.85,0,98.5,0,161,150.68,140.42,93.59,107.31,NA,NA,NA,NA,NA,NA
30,Northern Region,Himachal Pradesh,State Sector,SAINJ HPS,NA,100,389,31,25.65,33.64,82.74,76.25,331,301.66,357.4,91.14,84.4,NA,NA,NA,NA,NA,NA
31,Northern Region,Himachal Pradesh,State Sector,SAWRA KUDDU HPS,NA,111,300,26,21.28,41.25,81.85,51.59,236,252.04,263.96,106.8,95.48,NA,NA,NA,NA,NA,NA
32,Northern Region,Himachal Pradesh,State Sector,HPPCL,Hydro,406,874,67,56.78,74.89,84.75,75.82,728,704.38,761.78,96.76,92.47,NA,NA,NA,NA,NA,NA
33,Northern Region,Himachal Pradesh,State Sector,BASSI HPS,NA,66,304,22,17.08,24.25,77.64,70.43,252,244.54,251.6,97.04,97.19,NA,NA,NA,NA,NA,NA
34,Northern Region,Himachal Pradesh,State Sector,GIRI BATA HPS,NA,60,180,17,23.67,39.8,139.24,59.47,133,177.03,168.07,133.11,105.33,NA,NA,NA,NA,NA,NA
35,Northern Region,Himachal Pradesh,State Sector,LARJI HPS,NA,126,619,42,0,51.7,0,0,524,213.47,493.72,40.74,43.24,NA,NA,NA,NA,NA,NA
36,Northern Region,Himachal Pradesh,State Sector,SANJAY HPS,NA,120,550,50,41.57,56.25,83.14,73.9,423,442.58,522.53,104.63,84.7,NA,NA,NA,NA,NA,NA
37,Northern Region,Himachal Pradesh,State Sector,UHL-III HPS,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
38,Northern Region,Himachal Pradesh,State Sector,HPSEB,Hydro,372,1653,131,82.32,172,62.84,47.86,1332,1077.62,1435.92,80.9,75.05,NA,NA,NA,NA,NA,NA
39,Northern Region,Himachal Pradesh,State Sector,SHANAN HPS,NA,110,475,25,26.79,36.87,107.16,72.66,385,410.49,413.24,106.62,99.33,NA,NA,NA,NA,NA,NA
40,Northern Region,Himachal Pradesh,State Sector,PSPCL,Hydro,110,475,25,26.79,36.87,107.16,72.66,385,410.49,413.24,106.62,99.33,NA,NA,NA,NA,NA,NA
41,Northern Region,Himachal Pradesh,State Sector,State Sector,Hydro,888,3002,223,165.89,283.76,74.39,58.46,2445,2192.49,2610.94,89.67,83.97,NA,NA,NA,NA,NA,NA
42,Northern Region,Himachal Pradesh,Pvt Sector,ALLAIN DUHANGAN HPS,NA,192,653,37,37.63,45.35,101.7,82.98,576,515.42,552.02,89.48,93.37,NA,NA,NA,NA,NA,NA
43,Northern Region,Himachal Pradesh,Pvt Sector,ADHPL,Hydro,192,653,37,37.63,45.35,101.7,82.98,576,515.42,552.02,89.48,93.37,NA,NA,NA,NA,NA,NA
44,Northern Region,Himachal Pradesh,Pvt Sector,MALANA-II HPS,NA,100,348,21,11.02,17.91,52.48,61.53,318,123.98,305.15,38.99,40.63,NA,NA,NA,NA,NA,NA
45,Northern Region,Himachal Pradesh,Pvt Sector,E.P.P.L.,Hydro,100,348,21,11.02,17.91,52.48,61.53,318,123.98,305.15,38.99,40.63,NA,NA,NA,NA,NA,NA
46,Northern Region,Himachal Pradesh,Pvt Sector,BUDHIL HPS,NA,70,293,15,13.59,15.42,90.6,88.13,261,227.43,229.56,87.14,99.07,NA,NA,NA,NA,NA,NA
47,Northern Region,Himachal Pradesh,Pvt Sector,GBHPPL,Hydro,70,293,15,13.59,15.42,90.6,88.13,261,227.43,229.56,87.14,99.07,NA,NA,NA,NA,NA,NA
48,Northern Region,Himachal Pradesh,Pvt Sector,BAJOLI HOLI HPS,NA,180,770,38,33.81,35.96,88.97,94.02,677,622.4,366.42,91.94,169.86,NA,NA,NA,NA,NA,NA
49,Northern Region,Himachal Pradesh,Pvt Sector,GMR BHHPL,Hydro,180,770,38,33.81,35.96,88.97,94.02,677,622.4,366.42,91.94,169.86,NA,NA,NA,NA,NA,NA
50,Northern Region,Himachal Pradesh,Pvt Sector,BASPA HPS,NA,300,1213,80,73.9,83.58,92.38,88.42,982,1003.48,1178.25,102.19,85.17,NA,NA,NA,NA,NA,NA
51,Northern Region,Himachal Pradesh,Pvt Sector,KARCHAM WANGTOO HPS,NA,1045,4132,150,226.27,271.26,150.85,83.41,3473,3235.33,3681.38,93.16,87.88,NA,NA,NA,NA,NA,NA
52,Northern Region,Himachal Pradesh,Pvt Sector,HBPCL,Hydro,1345,5345,230,300.17,354.84,130.51,84.59,4455,4238.81,4859.63,95.15,87.22,NA,NA,NA,NA,NA,NA
53,Northern Region,Himachal Pradesh,Pvt Sector,SORANG HPS,NA,100,402,30,21.53,28.94,71.77,74.4,341,191.6,268.18,56.19,71.44,NA,NA,NA,NA,NA,NA
54,Northern Region,Himachal Pradesh,Pvt Sector,HSPCL,Hydro,100,402,30,21.53,28.94,71.77,74.4,341,191.6,268.18,56.19,71.44,NA,NA,NA,NA,NA,NA
55,Northern Region,Himachal Pradesh,Pvt Sector,CHANJU-I HPS,NA,36,158,10,7.77,11.58,77.7,67.1,127,133.3,115.65,104.96,115.26,NA,NA,NA,NA,NA,NA
56,Northern Region,Himachal Pradesh,Pvt Sector,IAEPL,Hydro,36,158,10,7.77,11.58,77.7,67.1,127,133.3,115.65,104.96,115.26,NA,NA,NA,NA,NA,NA
57,Northern Region,Himachal Pradesh,Pvt Sector,MALANA HPS,NA,86,332,21,16.79,20.9,79.95,80.33,291,209.67,278.64,72.05,75.25,NA,NA,NA,NA,NA,NA
58,Northern Region,Himachal Pradesh,Pvt Sector,MPCL,Hydro,86,332,21,16.79,20.9,79.95,80.33,291,209.67,278.64,72.05,75.25,NA,NA,NA,NA,NA,NA
59,Northern Region,Himachal Pradesh,Pvt Sector,TIDONG HPS,NA,0,50,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
60,Northern Region,Himachal Pradesh,Pvt Sector,NTPGPL,Hydro,0,50,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
