State ,Month,Energy Requirement MU,Energy Availability MU
चंडीगढ़/ Chandigarh,Sep-23,194,194
दिल्ली / Delhi,Sep-23,3743,3743
हरियाणा / Haryana,Sep-23,6808,6752
हिमाचल प्रदेश / Himachal Pradesh,Sep-23,1158,1156
"यू.टी ऑफ़ जम्मू कश्मीर और लद्दाख / 
UTs of J&K and Ladakh ",Sep-23,1521,1476
पंजाब / Punjab,Sep-23,8006,8006
राजस्थान / Rajasthan,Sep-23,9398,9283
उत्तर प्रदेश / Uttar Pradesh,Sep-23,14669,14656
उत्तराखंड / Uttarakhand,Sep-23,1392,1381
उत्तरी क्षेत्र / Northern Region ,Sep-23,47002,46759
छत्तीसगढ़ / Chhattisgarh,Sep-23,3408,3397
गुजरात / Gujarat,Sep-23,12931,12907
मध्य प्रदेश / Madhya Pradesh,Sep-23,7699,7664
महाराष्ट्र / Maharashtra,Sep-23,15841,15819
"दादरा और नगर हवेली और दमन और दीव / 
Dadra & Nagar Haveli and Daman & Diu",Sep-23,792,792
गोवा / Goa,Sep-23,412,412
पश्चिमी क्षेत्र / Western Region,Sep-23,41703,41611
आन्ध्र प्रदेश / Andhra Pradesh,Sep-23,6559,6559
तेलंगाना / Telangana,Sep-23,6725,6725
कर्नाटक / Karnataka,Sep-23,7008,7002
केरल / Kerala,Sep-23,2363,2363
तमिल नाडू / Tamil Nadu,Sep-23,10245,10245
पुडुचेरी / Puducherry,Sep-23,291,291
लक्ष-द्वीप / Lakshadweep  #,Sep-23,5,5
दक्षिणी क्षेत्र / Southern Region,Sep-23,33197,33190
बिहार / Bihar,Sep-23,4262,4167
दामोदर घाटी निगम / DVC,Sep-23,2294,2293
झारखण्ड / Jharkhand,Sep-23,1232,1190
ओडिशा/ Odisha,Sep-23,3635,3634
पश्चिम बंगाल / West Bengal,Sep-23,6453,6446
सिक्किम / Sikkim,Sep-23,38,38
अंडमान-निकोबार/ Andaman- Nicobar #,Sep-23,29,28
पूर्वी क्षेत्र/ Eastern Region,Sep-23,17914,17770
अरुणाचल प्रदेश / Arunachal Pradesh,Sep-23,89,89
असम / Assam,Sep-23,1368,1333
मणिपुर / Manipur,Sep-23,79,79
मेघालय / Meghalaya ,Sep-23,165,157
मिज़ोरम / Mizoram ,Sep-23,49,49
नागालैंड / Nagaland ,Sep-23,86,86
त्रिपुरा / Tripura *,Sep-23,173,173
उत्तर-पूर्वी क्षेत्र  / North-Eastern Region      ,Sep-23,2010,1968
सम्पूर्ण भारत  / All India,Sep-23,141827,141299
